Questions,Difficulty Level,Bloom's Taxonomy,Category,Sub Category
what do bicornate animals have two of,Medium,Understanding,Entity,Other
what function does a community  s water tower serve,Medium,Understanding,Description,Reason
what is a fear of weakness,Easy,Remembering,Entity,Disease or medical condition
how many miles is it to ohio from north carolina,Medium,Remembering,Numeric,Count
how much snow equals an inch of rain,Hard,Creating,Numeric,Count
what does g m t  stand for,Hard,Understanding,Abbreviation,Expression
what does inuit and eskimo mean,Hard,Understanding,Description,Definition
what song served as the closing theme of the johnny cash show,Medium,Remembering,Entity,"Currency, monetary value, or gem"
what field sport did dentist william beers promote and write a standard book of rules for,Hard,Understanding,Entity,Sport
how do i tie dye clothes,Hard,Understanding,Description,Manner
when does the average teenager first have intercourse,Hard,Understanding,Numeric,Date
why doesn  t www answers com have any answers to my questions,Medium,Evaluating,Description,Reason
what actor  s autobiography is titled all my yesterdays,Easy,Remembering,Human,Individual
what russian master spy lived in the u s  under the name emil goldfus,Medium,Remembering,Human,Individual
where  s the   th hole on a golf course,Medium,Understanding,Location,Other
what  s nature  s purpose for tornadoes,Medium,Understanding,Description,Reason
who played the original charlie  s angels,Easy,Remembering,Human,Individual
where can i find a person  s address from a telephone number,Medium,Understanding,Location,Other
what english word comes from the old french covrefeu   meaning cover fire,Medium,Understanding,Entity,Word
what musical instrument did prewitt play in james jones  s from here to eternity,Medium,Creating,Entity,Instrument
where did sarge steel get his metal hand,Medium,Understanding,Location,Other
what makes popcorn pop,Medium,Understanding,Description,Reason
who wrote the night of the iguana,Easy,Remembering,Human,Individual
where does your hair grow the fastest,Medium,Understanding,Entity,Body
what country did king gustav v reign over from     to    ,Medium,Understanding,Location,Country
who painted mother and child,Easy,Remembering,Human,Individual
what is the speed of the mississippi river,Easy,Remembering,Numeric,Speed
in what area of the world was the six day war fought,Medium,Applying,Location,Other
what is the brightest star visible from earth,Easy,Remembering,Location,Other
what film marked robert redford  s directorial debut,Medium,Understanding,Entity,"Currency, monetary value, or gem"
what was mao  s second name,Medium,Remembering,Human,Individual
what film or films has jude law appeared in,Medium,Understanding,Entity,"Currency, monetary value, or gem"
where do hyenas live,Hard,Understanding,Location,Other
who is the    queen mother   ,Easy,Remembering,Human,Description
what  s the most commonly spoken language in belgium,Medium,Understanding,Entity,Language
who has more dna   a man or a woman,Easy,Remembering,Human,Individual
what are maid rites,Medium,Understanding,Description,Definition
what children  s tale contains the line      come   cinderslut   and hold this skein of wool for me   ,Hard,Understanding,Entity,"Currency, monetary value, or gem"
what level of government or governmental agency is responsible for dealing with racism,Medium,Remembering,Human,Groups
how many referees work a soccer game,Medium,Understanding,Numeric,Count
what cocktail do you concoct with whisky and sweet vermouth,Medium,Understanding,Entity,Food
how do you say    fresh    in spanish,Medium,Understanding,Entity,Term or equation
what do bee hives do in cranberry bogs,Medium,Understanding,Description,Description
what caused the lynmouth floods,Medium,Understanding,Description,Reason
when is the tulip festival in michigan,Easy,Remembering,Numeric,Date
who came up with the name   el nino,Easy,Remembering,Human,Individual
what movie did madilyn kahn star in with gene wilder,Medium,Understanding,Entity,"Currency, monetary value, or gem"
what type of bridge is the golden gate bridge,Easy,Remembering,Entity,Other
what dictator has the nickname    el maximo   ,Medium,Understanding,Human,Individual
what stereo manufacturer is    slightly ahead of its time   ,Easy,Understanding,Human,Groups
what u s  city is the queen of the pacific,Easy,Remembering,Location,City
what tv sitcom character had the maiden name ethel potter,Medium,Remembering,Human,Individual
what was the first lifesaver flavor,Medium,Understanding,Entity,Food
who kept the most famous diary in the english language,Easy,Remembering,Human,Individual
where can i find out the top   singles,Hard,Understanding,Location,Other
how many degrees cooler is the inside of a cucumber than the air outside,Easy,Remembering,Numeric,Count
what spanish artist painted crucifixion,Easy,Remembering,Human,Individual
what is the jewish bible called,Easy,Remembering,Entity,"Currency, monetary value, or gem"
why is the grass green,Easy,Remembering,Description,Reason
what is a firewall,Easy,Remembering,Description,Definition
what spy novelist served as moscow correspondent for reuter and the times of london,Hard,Understanding,Human,Individual
which oil company almost picked a word that meant    stalled car    in japanese as its new international name,Hard,Remembering,Human,Groups
how long does it take for spider man  s web to evaporate,Hard,Creating,Numeric,Period of time
who was randy steven craft  s lawyer,Easy,Remembering,Human,Individual
what was known as the spice island,Medium,Remembering,Location,Other
who was the first host of person to person,Easy,Remembering,Human,Individual
name the ranger who was always after yogi bear  ,Medium,Remembering,Human,Individual
what deck of cards includes the wheel of fortune   the lovers   and death,Medium,Understanding,Entity,Other
what does the statue of liberty wear on her feet,Hard,Understanding,Entity,Other
who is the superstar in rent a cars,Easy,Remembering,Human,Individual
mccarren airport is located in what city,Easy,Remembering,Location,City
what household facility contains a float ball   ballcock   and overflow tube,Hard,Understanding,Entity,Other
what was the name of betty boop  s dog,Medium,Remembering,Entity,Animal
what fraction of a beaver  s life is spent swimming,Easy,Remembering,Numeric,Percentage
what was the bridge of san luis rey made of,Medium,Understanding,Entity,Substance
what do economists do,Medium,Understanding,Description,Description
what country has the largest sheep population,Easy,Remembering,Location,Country
what do i need to do to take my dog with me to live in dominica   west indies for a year,Hard,Creating,Description,Description
what country is the world  s largest importer of cognac,Easy,Remembering,Location,Country
how many years is johnnie walker black label aged,Easy,Remembering,Numeric,Count
what does sids stand for,Hard,Understanding,Abbreviation,Expression
what is grenada  s main commodity export,Easy,Remembering,Entity,Other
how much would a black and white   cent stamp be worth   thomas jefferson on it  ,Medium,Creating,Numeric,Money
what makes a clitoris sensitive,Medium,Understanding,Description,Reason
what country has the most time zones   with   ,Medium,Remembering,Location,Country
what    magic    does mandrake employ,Medium,Understanding,Entity,Other
who is the president of stanford university,Easy,Remembering,Human,Individual
whose first presidential order was      let  s get this goddamn thing airborne   ,Hard,Understanding,Human,Individual
what was introduced commercially by bayer a g  of leverkusen   in     ,Medium,Understanding,Entity,Other
what city is logan airport in,Easy,Remembering,Location,City
